,Country,City,Customer Name,Order ID,Postal Code,Region,Row ID,State,Top N Customer Label,Order Date,Product ID_x,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Quantity,Sales,Product Name,Segment,Sub-Category,month,Total Sales,Discount Amount
74,United States,Memphis,Joel Eaton,US-2012-134026,38109.0,South,75,Tennessee,Other,2014-04-26,OFF-ST-10004123,2014-02-05 00:00:00,Standard Class,0.2,0.0,0.0,1.0,72.784,Safco Industrial Wire Shelving System,Consumer,Storage,4,90.98,18.196
75,United States,Houston,Ken Brennan,US-2014-118038,77041.0,Central,76,Texas,Other,2016-09-12,OFF-BI-10004182,2016-11-12 00:00:00,First Class,0.8,0.0,0.0,3.0,1.248,Economy Binders,Corporate,Binders,9,6.240000000000001,4.992000000000001
76,United States,Houston,Ken Brennan,US-2014-118038,77041.0,Central,77,Texas,Other,2016-09-12,FUR-FU-10000260,2016-11-12 00:00:00,First Class,0.6,0.0,0.0,3.0,9.708,"6"" Cubicle Wall Clock, Black",Corporate,Furnishings,9,24.27,14.562
77,United States,Houston,Ken Brennan,US-2014-118038,77041.0,Central,78,Texas,Other,2016-09-12,OFF-ST-10000615,2016-11-12 00:00:00,First Class,0.2,2.724,0.1,3.0,27.24,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Corporate,Storage,9,34.05,6.809999999999999
78,United States,Houston,Joel Eaton,US-2011-147606,77070.0,Central,79,Texas,Other,2013-11-26,FUR-FU-10003194,2013-01-12 00:00:00,Second Class,0.6,0.0,0.0,5.0,19.3,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Furnishings,11,48.25,28.95
83,United States,Durham,Julie Creighton,CA-2012-149734,27707.0,South,84,North Carolina,Other,2014-03-09,OFF-EN-10000927,2014-08-09 00:00:00,Standard Class,0.2,62.8075,0.3125,7.0,200.984,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Corporate,Envelopes,3,251.23,50.24599999999998
84,United States,Chicago,Christopher Schild,US-2014-119662,60623.0,Central,85,Illinois,Other,2016-11-13,OFF-ST-10003656,11/16/2016,First Class,0.2,0.0,0.0,3.0,230.376,Safco Industrial Wire Shelving,Home Office,Storage,11,287.96999999999997,57.593999999999966
88,United States,Houston,Gary Mitchum,CA-2013-159695,77095.0,Central,89,Texas,Other,2015-06-04,OFF-ST-10003442,2015-11-04 00:00:00,Second Class,0.2,13.8572,0.0875,7.0,158.368,Eldon Portable Mobile Manager,Home Office,Storage,6,197.96,39.591999999999985
90,United States,Los Angeles,Jim Sink,CA-2013-109806,90036.0,West,91,California,Other,2015-09-18,TEC-PH-10004093,9/23/2015,Standard Class,0.2,8.2782,0.1125,2.0,73.584,Panasonic Kx-TS550,Corporate,Phones,9,91.98,18.396
95,United States,Portland,Roger Barcio,US-2014-109484,97206.0,West,96,Oregon,Other,2016-06-11,OFF-BI-10004738,2016-12-11 00:00:00,Standard Class,0.7,0.0,0.0,1.0,5.682,Flexible Leather- Look Classic Collection Ring Binder,Home Office,Binders,6,18.94,13.257999999999996
97,United States,San Francisco,Katherine Ducich,CA-2014-157833,94122.0,West,98,California,Other,2016-06-17,OFF-BI-10001721,6/20/2016,First Class,0.2,17.9592,0.35,3.0,51.312,Trimflex Flexible Post Binders,Consumer,Binders,6,64.13999999999999,12.827999999999989
99,United States,Chicago,Rick Bensley,CA-2013-158568,60610.0,Central,100,Illinois,Other,2015-08-30,OFF-PA-10003256,2015-03-09 00:00:00,Standard Class,0.2,22.6184,0.35,7.0,64.624,Avery Personal Creations Heavyweight Cards,Home Office,Paper,8,80.77999999999999,16.15599999999999
100,United States,Chicago,Rick Bensley,CA-2013-158568,60610.0,Central,101,Illinois,Other,2015-08-30,TEC-AC-10001767,2015-03-09 00:00:00,Standard Class,0.2,0.0,0.0,3.0,95.976,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Home Office,Accessories,8,119.97,23.994
101,United States,Chicago,Rick Bensley,CA-2013-158568,60610.0,Central,102,Illinois,Other,2015-08-30,OFF-BI-10002609,2015-03-09 00:00:00,Standard Class,0.8,0.0,0.0,3.0,1.788,Avery Hidden Tab Dividers for Binding Systems,Home Office,Binders,8,8.940000000000001,7.152000000000001
103,United States,Aurora,Lena Cacioppo,US-2012-156867,80013.0,West,104,Colorado,Other,2014-11-13,TEC-AC-10001552,11/17/2014,Standard Class,0.2,0.0,0.0,6.0,238.896,Logitech K350 2.4Ghz Wireless Keyboard,Consumer,Accessories,11,298.61999999999995,59.72399999999996
104,United States,Aurora,Lena Cacioppo,US-2012-156867,80013.0,West,105,Colorado,Other,2014-11-13,FUR-FU-10004006,11/17/2014,Standard Class,0.2,0.0,0.0,3.0,102.36,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Consumer,Furnishings,11,127.95,25.58999999999999
105,United States,Aurora,Lena Cacioppo,US-2012-156867,80013.0,West,106,Colorado,Other,2014-11-13,OFF-BI-10002794,11/17/2014,Standard Class,0.7,0.0,0.0,3.0,36.882,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Consumer,Binders,11,122.93999999999996,86.05799999999996
106,United States,Charlotte,Janet Martin,CA-2014-119004,28205.0,South,107,North Carolina,Other,2016-11-23,TEC-AC-10003499,11/28/2016,Standard Class,0.2,17.6016,0.2375,8.0,74.112,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Consumer,Accessories,11,92.64,18.52799999999999
107,United States,Charlotte,Janet Martin,CA-2014-119004,28205.0,South,108,North Carolina,Other,2016-11-23,TEC-PH-10002844,11/28/2016,Standard Class,0.2,2.0994,0.075,1.0,27.992,Speck Products Candyshell Flip Case,Consumer,Phones,11,34.99,6.998000000000001
108,United States,Charlotte,Janet Martin,CA-2014-119004,28205.0,South,109,North Carolina,Other,2016-11-23,OFF-AR-10000390,11/28/2016,Standard Class,0.2,1.0738,0.325,1.0,3.304,Newell Chalk Holder,Consumer,Art,11,4.13,0.8260000000000001
109,United States,Orland Park,Pete Armstrong,CA-2012-129476,60462.0,Central,110,Illinois,Other,2014-10-15,TEC-AC-10000844,10/20/2014,Standard Class,0.2,67.992,0.2,5.0,339.96,Logitech Gaming G510s - Keyboard,Home Office,Accessories,10,424.94999999999993,84.98999999999995
113,United States,Columbus,Ryan Crowe,CA-2011-115259,43229.0,East,114,Ohio,Other,2013-08-25,OFF-FA-10000621,8/27/2013,Second Class,0.2,14.5348,0.3625,14.0,40.096,"OIC Colored Binder Clips, Assorted Sizes",Consumer,Fasteners,8,50.11999999999999,10.023999999999994
114,United States,Columbus,Ryan Crowe,CA-2011-115259,43229.0,East,115,Ohio,Other,2013-08-25,OFF-EN-10002600,8/27/2013,Second Class,0.2,1.652,0.35,2.0,4.72,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Consumer,Envelopes,8,5.8999999999999995,1.1799999999999995
115,United States,Columbus,Ryan Crowe,CA-2011-115259,43229.0,East,116,Ohio,Other,2013-08-25,OFF-PA-10004965,8/27/2013,Second Class,0.2,7.4925,0.3125,3.0,23.976,Xerox 1921,Consumer,Paper,8,29.97,5.994
116,United States,Columbus,Ryan Crowe,CA-2011-115259,43229.0,East,117,Ohio,Other,2013-08-25,OFF-EN-10002504,8/27/2013,Second Class,0.2,44.0316,0.3375,6.0,130.464,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,Envelopes,8,163.07999999999998,32.615999999999985
118,United States,Bristol,Greg Guthrie,US-2012-136476,37620.0,South,119,Tennessee,Other,2014-05-04,OFF-BI-10003650,2014-10-04 00:00:00,Standard Class,0.7,0.0,0.0,1.0,157.794,GBC DocuBind 300 Electric Binding Machine,Corporate,Binders,5,525.9799999999999,368.1859999999999
124,United States,Houston,Alan Dominguez,US-2011-152030,77041.0,Central,125,Texas,Other,2013-12-26,FUR-CH-10004063,12/28/2013,Second Class,0.3,0.0,0.0,3.0,600.558,Global Deluxe High-Back Manager's Chair,Home Office,Chairs,12,857.94,257.38200000000006
125,United States,Bloomington,Philip Fox,US-2011-134614,61701.0,Central,126,Illinois,Other,2013-09-20,FUR-TA-10004534,9/25/2013,Standard Class,0.5,0.0,0.0,6.0,617.7,Bevis 44 x 96 Conference Tables,Consumer,Tables,9,1235.4,617.7
126,United States,Phoenix,Troy Staebel,US-2014-107272,85023.0,West,127,Arizona,Other,2016-05-11,OFF-BI-10003274,2016-12-11 00:00:00,Standard Class,0.7,0.0,0.0,2.0,2.388,"Avery Durable Slant Ring Binders, No Labels",Consumer,Binders,5,7.959999999999998,5.571999999999998
127,United States,Phoenix,Troy Staebel,US-2014-107272,85023.0,West,128,Arizona,Other,2016-05-11,OFF-ST-10002974,2016-12-11 00:00:00,Standard Class,0.2,30.499,0.125,7.0,243.992,"Trav-L-File Heavy-Duty Shuttle II, Black",Consumer,Storage,5,304.98999999999995,60.99799999999996
128,United States,Los Angeles,Lindsay Shagiari,US-2013-125969,90004.0,West,129,California,Other,2015-07-11,FUR-CH-10001146,2015-11-11 00:00:00,Second Class,0.2,0.0,0.0,2.0,81.424,"Global Task Chair, Black",Home Office,Chairs,7,101.78,20.355999999999995
130,United States,Columbus,Dorothy Wardle,US-2014-164147,43229.0,East,131,Ohio,Other,2016-03-02,TEC-PH-10002293,2016-06-02 00:00:00,First Class,0.4,0.0,0.0,5.0,59.97,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Corporate,Phones,3,99.95,39.98
131,United States,Columbus,Dorothy Wardle,US-2014-164147,43229.0,East,132,Ohio,Other,2016-03-02,OFF-PA-10002377,2016-06-02 00:00:00,First Class,0.2,29.364,0.375,2.0,78.304,Xerox 1916,Corporate,Paper,3,97.88,19.575999999999993
132,United States,Columbus,Dorothy Wardle,US-2014-164147,43229.0,East,133,Ohio,Other,2016-03-02,OFF-FA-10002780,2016-06-02 00:00:00,First Class,0.2,6.9732,0.325,9.0,21.456,Staples,Corporate,Fasteners,3,26.819999999999997,5.363999999999997
137,United States,Roseville,Lena Creighton,CA-2013-145583,95661.0,West,138,California,Other,2015-10-14,OFF-BI-10004781,10/20/2015,Standard Class,0.2,26.6616,0.35,3.0,76.176,GBC Wire Binding Strips,Consumer,Binders,10,95.22,19.043999999999997
140,United States,Philadelphia,Jonathan Doherty,CA-2013-110366,19140.0,East,141,Pennsylvania,Other,2015-06-09,FUR-FU-10004848,2015-08-09 00:00:00,Second Class,0.2,10.35,0.125,2.0,82.8,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Corporate,Furnishings,6,103.5,20.69999999999999
146,United States,Newark,Maureen Gastineau,CA-2011-110072,43055.0,East,147,Ohio,Other,2013-10-22,FUR-FU-10000521,10/28/2013,Standard Class,0.2,12.9096,0.1375,4.0,93.888,"Seth Thomas 14"" Putty-Colored Wall Clock",Home Office,Furnishings,10,117.36,23.47199999999999
151,United States,Scottsdale,Tamara Willingham,CA-2013-158834,85254.0,West,152,Arizona,Other,2015-03-14,OFF-AP-10000326,3/17/2015,First Class,0.2,17.766,0.1125,5.0,157.92,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Home Office,Appliances,3,197.4,39.47999999999999
152,United States,Scottsdale,Tamara Willingham,CA-2013-158834,85254.0,West,153,Arizona,Other,2015-03-14,TEC-PH-10001254,3/17/2015,First Class,0.2,15.2388,0.075,2.0,203.184,Jabra BIZ 2300 Duo QD Duo Corded Headset,Home Office,Phones,3,253.98,50.79599999999999
157,United States,Seattle,Dave Brooks,CA-2011-104269,98115.0,West,158,Washington,Other,2013-01-03,FUR-CH-10004063,2013-06-03 00:00:00,Second Class,0.2,51.4764,0.1125,2.0,457.568,Global Deluxe High-Back Manager's Chair,Consumer,Chairs,1,571.9599999999999,114.39199999999994
161,United States,Philadelphia,Eric Murdock,CA-2012-119697,19134.0,East,162,Pennsylvania,Other,2014-12-28,TEC-AC-10003657,12/31/2014,Second Class,0.2,1.3596,0.025,2.0,54.384,Lenovo 17-Key USB Numeric Keypad,Consumer,Accessories,12,67.97999999999999,13.59599999999999
163,United States,Seattle,Max Jones,CA-2013-113817,98115.0,West,164,Washington,Other,2015-08-11,OFF-BI-10004002,2015-12-11 00:00:00,Standard Class,0.2,9.688,0.35,2.0,27.68,Wilson Jones International Size A4 Ring Binders,Consumer,Binders,8,34.599999999999994,6.919999999999995
164,United States,San Antonio,Becky Martin,CA-2011-139892,78207.0,Central,165,Texas,Top 20 Customers,2013-08-09,OFF-AR-10004441,2013-12-09 00:00:00,Standard Class,0.2,2.7324,0.275,3.0,9.936,BIC Brite Liner Highlighters,Consumer,Art,8,12.42,2.484
165,United States,San Antonio,Becky Martin,CA-2011-139892,78207.0,Central,166,Texas,Top 20 Customers,2013-08-09,TEC-MA-10000822,2013-12-09 00:00:00,Standard Class,0.4,0.0,0.0,8.0,8159.952,Lexmark MX611dhe Monochrome Laser Printer,Consumer,Machines,8,13599.92,5439.968
166,United States,San Antonio,Becky Martin,CA-2011-139892,78207.0,Central,167,Texas,Top 20 Customers,2013-08-09,OFF-ST-10000991,2013-12-09 00:00:00,Standard Class,0.2,0.0,0.0,3.0,275.928,Space Solutions HD Industrial Steel Shelving.,Consumer,Storage,8,344.90999999999997,68.98199999999997
167,United States,San Antonio,Becky Martin,CA-2011-139892,78207.0,Central,168,Texas,Top 20 Customers,2013-08-09,FUR-CH-10004287,2013-12-09 00:00:00,Standard Class,0.3,0.0,0.0,9.0,1740.06,SAFCO Arco Folding Chair,Consumer,Chairs,8,2485.8,745.7400000000002
168,United States,San Antonio,Becky Martin,CA-2011-139892,78207.0,Central,169,Texas,Top 20 Customers,2013-08-09,OFF-AR-10002656,2013-12-09 00:00:00,Standard Class,0.2,6.8136,0.2125,6.0,32.064,Sanford Liquid Accent Highlighters,Consumer,Art,8,40.08,8.015999999999998
169,United States,San Antonio,Becky Martin,CA-2011-139892,78207.0,Central,170,Texas,Top 20 Customers,2013-08-09,OFF-AP-10002518,2013-12-09 00:00:00,Standard Class,0.8,0.0,0.0,5.0,177.98,Kensington 7 Outlet MasterPiece Power Center,Consumer,Appliances,8,889.9000000000001,711.9200000000001
170,United States,San Antonio,Becky Martin,CA-2011-139892,78207.0,Central,171,Texas,Top 20 Customers,2013-08-09,TEC-PH-10003931,2013-12-09 00:00:00,Standard Class,0.2,8.9985,0.0625,3.0,143.976,JBL Micro Wireless Portable Bluetooth Speaker,Consumer,Phones,8,179.97,35.994
173,United States,Los Angeles,Chad Sievert,CA-2011-118962,90004.0,West,174,California,Other,2013-05-08,FUR-CH-10003817,2013-09-08 00:00:00,Standard Class,0.2,21.259,0.0625,7.0,340.144,"Global Value Steno Chair, Gray",Consumer,Chairs,5,425.18,85.036
174,United States,Chicago,Jennifer Braxton,US-2011-100853,60623.0,Central,175,Illinois,Other,2013-09-14,OFF-AP-10000891,9/19/2013,Standard Class,0.8,0.0,0.0,2.0,52.448,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Corporate,Appliances,9,262.24000000000007,209.7920000000001
175,United States,Chicago,Jennifer Braxton,US-2011-100853,60623.0,Central,176,Illinois,Other,2013-09-14,OFF-LA-10003148,9/19/2013,Standard Class,0.2,6.552,0.325,4.0,20.16,Avery 51,Corporate,Labels,9,25.2,5.039999999999999
176,United States,Houston,Shirley Jackson,US-2014-152366,77036.0,Central,177,Texas,Other,2016-04-21,OFF-AP-10002684,4/25/2016,Second Class,0.8,0.0,0.0,4.0,97.264,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Consumer,Appliances,4,486.3200000000001,389.0560000000001
