,Country,City,Customer Name,Order ID,Postal Code,Region,Row ID,State,Top N Customer Label,Total Number of Customer_x,Order ID.1,Order Date,Product ID_x,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Quantity,Sales,Sales Per Customer,Total Number of Customer_y,Product ID_y,Product Name,Segment,Sub-Category,Number of Records
15,United States,Fort Worth,Harold Pawlan,US-2012-118983,76106.0,Central,16,Texas,Other,1.0,US-2012-118983,11/22/2014,OFF-BI-10000756,11/26/2014,Standard Class,0.8,-3.816,-1.5,3.0,2.544,2.544,1,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Home Office,Binders,1.0
16,United States,Madison,Pete Kriz,CA-2011-105893,53711.0,Central,17,Wisconsin,Other,1.0,CA-2011-105893,2013-11-11 00:00:00,OFF-ST-10004186,11/18/2013,Standard Class,0.0,13.3176,0.02,6.0,665.88,665.88,1,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Consumer,Storage,1.0
17,United States,West Jordan,Alejandro Grove,CA-2011-167164,84084.0,West,18,Utah,Other,1.0,CA-2011-167164,5/13/2013,OFF-ST-10000107,5/15/2013,Second Class,0.0,9.99,0.18,2.0,55.5,55.5,1,OFF-ST-10000107,Fellowes Super Stor/Drawer,Consumer,Storage,1.0
18,United States,San Francisco,Zuschuss Donatelli,CA-2011-143336,94109.0,West,19,California,Other,1.0,CA-2011-143336,8/27/2013,OFF-AR-10003056,2013-01-09 00:00:00,Second Class,0.0,2.4824,0.29,2.0,8.56,8.56,1,OFF-AR-10003056,Newell 341,Consumer,Art,1.0
19,United States,San Francisco,Zuschuss Donatelli,CA-2011-143336,94109.0,West,20,California,Other,1.0,CA-2011-143336,8/27/2013,TEC-PH-10001949,2013-01-09 00:00:00,Second Class,0.2,16.011,0.075,3.0,213.48,213.48,1,TEC-PH-10001949,Cisco SPA 501G IP Phone,Consumer,Phones,1.0
20,United States,San Francisco,Zuschuss Donatelli,CA-2011-143336,94109.0,West,21,California,Other,1.0,CA-2011-143336,8/27/2013,OFF-BI-10002215,2013-01-09 00:00:00,Second Class,0.2,7.384,0.325,4.0,22.72,22.72,1,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Consumer,Binders,1.0
21,United States,Fremont,Ken Black,CA-2013-137330,68025.0,Central,22,Nebraska,Other,1.0,CA-2013-137330,2015-10-12 00:00:00,OFF-AR-10000246,12/14/2015,Standard Class,0.0,5.0596,0.26,7.0,19.46,19.46,1,OFF-AR-10000246,Newell 318,Corporate,Art,1.0
22,United States,Fremont,Ken Black,CA-2013-137330,68025.0,Central,23,Nebraska,Other,1.0,CA-2013-137330,2015-10-12 00:00:00,OFF-AP-10001492,12/14/2015,Standard Class,0.0,15.6884,0.26,7.0,60.34,60.34,1,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Corporate,Appliances,1.0
23,United States,Philadelphia,Sandra Flanagan,US-2014-156909,19140.0,East,24,Pennsylvania,Other,1.0,US-2014-156909,7/16/2016,FUR-CH-10002774,7/18/2016,Second Class,0.3,-1.0196,-0.014285714,2.0,71.372,71.372,1,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Consumer,Chairs,1.0
24,United States,Orem,Emily Burns,CA-2012-106320,84057.0,West,25,Utah,Other,1.0,CA-2012-106320,9/25/2014,FUR-TA-10000577,9/30/2014,Standard Class,0.0,240.2649,0.23,3.0,1044.63,1044.63,1,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Consumer,Tables,1.0
25,United States,Los Angeles,Eric Hoffmann,CA-2013-121755,90049.0,West,26,California,Other,1.0,CA-2013-121755,1/16/2015,OFF-BI-10001634,1/20/2015,Second Class,0.2,4.2224,0.3625,2.0,11.648,11.648,1,OFF-BI-10001634,Wilson Jones Active Use Binders,Consumer,Binders,1.0
26,United States,Los Angeles,Eric Hoffmann,CA-2013-121755,90049.0,West,27,California,Other,1.0,CA-2013-121755,1/16/2015,TEC-AC-10003027,1/20/2015,Second Class,0.0,11.7741,0.13,3.0,90.57,90.57,1,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Consumer,Accessories,1.0
27,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,28,Pennsylvania,Other,1.0,US-2012-150630,9/17/2014,FUR-BO-10004834,9/21/2014,Standard Class,0.5,-1665.0522,-0.54,7.0,3083.43,3083.43,1,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Consumer,Bookcases,1.0
28,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,29,Pennsylvania,Other,1.0,US-2012-150630,9/17/2014,OFF-BI-10000474,9/21/2014,Standard Class,0.7,-7.0532,-0.733333333,2.0,9.618,9.618,1,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Consumer,Binders,1.0
29,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,30,Pennsylvania,Other,1.0,US-2012-150630,9/17/2014,FUR-FU-10004848,9/21/2014,Standard Class,0.2,15.525,0.125,3.0,124.2,124.2,1,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Consumer,Furnishings,1.0
30,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,31,Pennsylvania,Other,1.0,US-2012-150630,9/17/2014,OFF-EN-10001509,9/21/2014,Standard Class,0.2,1.1016,0.3375,2.0,3.264,3.264,1,OFF-EN-10001509,Poly String Tie Envelopes,Consumer,Envelopes,1.0
31,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,32,Pennsylvania,Other,1.0,US-2012-150630,9/17/2014,OFF-AR-10004042,9/21/2014,Standard Class,0.2,9.7092,0.1125,6.0,86.304,86.304,1,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Consumer,Art,1.0
32,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,33,Pennsylvania,Other,1.0,US-2012-150630,9/17/2014,OFF-BI-10001525,9/21/2014,Standard Class,0.7,-5.715,-0.833333333,6.0,6.858,6.858,1,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Consumer,Binders,1.0
33,United States,Philadelphia,Tracy Blumstein,US-2012-150630,19140.0,East,34,Pennsylvania,Other,1.0,US-2012-150630,9/17/2014,OFF-AR-10001683,9/21/2014,Standard Class,0.2,3.546,0.225,2.0,15.76,15.76,1,OFF-AR-10001683,Lumber Crayons,Consumer,Art,1.0
34,United States,Houston,Matt Abelman,CA-2014-107727,77095.0,Central,35,Texas,Other,1.0,CA-2014-107727,10/19/2016,OFF-PA-10000249,10/23/2016,Second Class,0.2,9.9468,0.3375,3.0,29.472,29.472,1,OFF-PA-10000249,Easy-staple paper,Home Office,Paper,1.0
35,United States,Richardson,Gene Hale,CA-2013-117590,75080.0,Central,36,Texas,Other,1.0,CA-2013-117590,2015-09-12 00:00:00,TEC-PH-10004977,2015-11-12 00:00:00,First Class,0.2,123.4737,0.1125,7.0,1097.544,1097.544,1,TEC-PH-10004977,GE 30524EE4,Corporate,Phones,1.0
36,United States,Richardson,Gene Hale,CA-2013-117590,75080.0,Central,37,Texas,Other,1.0,CA-2013-117590,2015-09-12 00:00:00,FUR-FU-10003664,2015-11-12 00:00:00,First Class,0.6,-147.963,-0.775,5.0,190.92,190.92,1,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Corporate,Furnishings,1.0
37,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,38,Texas,Other,1.0,CA-2012-117415,12/27/2014,OFF-EN-10002986,12/31/2014,Standard Class,0.2,35.415,0.3125,9.0,113.328,113.328,1,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Home Office,Envelopes,1.0
38,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,39,Texas,Other,1.0,CA-2012-117415,12/27/2014,FUR-BO-10002545,12/31/2014,Standard Class,0.32,-46.9764,-0.088235294,3.0,532.3992,532.3992,1,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Home Office,Bookcases,1.0
39,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,40,Texas,Other,1.0,CA-2012-117415,12/27/2014,FUR-CH-10004218,12/31/2014,Standard Class,0.3,-15.147,-0.071428571,3.0,212.058,212.058,1,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Home Office,Chairs,1.0
40,United States,Houston,Steve Nguyen,CA-2012-117415,77041.0,Central,41,Texas,Other,1.0,CA-2012-117415,12/27/2014,TEC-PH-10000486,12/31/2014,Standard Class,0.2,41.7564,0.1125,4.0,371.168,371.168,1,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Home Office,Phones,1.0
41,United States,Naperville,Linda Cazamias,CA-2014-120999,60540.0,Central,42,Illinois,Other,1.0,CA-2014-120999,2016-10-09 00:00:00,TEC-PH-10004093,9/15/2016,Standard Class,0.2,16.5564,0.1125,4.0,147.168,147.168,1,TEC-PH-10004093,Panasonic Kx-TS550,Corporate,Phones,1.0
42,United States,Los Angeles,Ruben Ausman,CA-2013-101343,90049.0,West,43,California,Other,1.0,CA-2013-101343,7/18/2015,OFF-ST-10003479,7/23/2015,Standard Class,0.0,3.894,0.05,2.0,77.88,77.88,1,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Corporate,Storage,1.0
43,United States,Melbourne,Erin Smith,CA-2014-139619,32935.0,South,44,Florida,Other,1.0,CA-2014-139619,9/19/2016,OFF-ST-10003282,9/23/2016,Standard Class,0.2,9.5616,0.1,2.0,95.616,95.616,1,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Corporate,Storage,1.0
44,United States,Eagan,Odella Nelson,CA-2013-118255,55122.0,Central,45,Minnesota,Other,1.0,CA-2013-118255,2015-12-03 00:00:00,TEC-AC-10000171,3/14/2015,First Class,0.0,19.7714,0.43,2.0,45.98,45.98,1,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Corporate,Accessories,1.0
45,United States,Eagan,Odella Nelson,CA-2013-118255,55122.0,Central,46,Minnesota,Other,1.0,CA-2013-118255,2015-12-03 00:00:00,OFF-BI-10003291,3/14/2015,First Class,0.0,8.2062,0.47,2.0,17.46,17.46,1,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Corporate,Binders,1.0
46,United States,Westland,Patrick O'Donnell,CA-2011-146703,48185.0,Central,47,Michigan,Other,1.0,CA-2011-146703,10/20/2013,OFF-ST-10001713,10/25/2013,Second Class,0.0,8.4784,0.04,4.0,211.96,211.96,1,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Consumer,Storage,1.0
47,United States,Dover,Lena Hernandez,CA-2013-169194,19901.0,East,48,Delaware,Other,1.0,CA-2013-169194,6/21/2015,TEC-AC-10002167,6/26/2015,Standard Class,0.0,4.95,0.11,3.0,45.0,45.0,1,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,Accessories,1.0
48,United States,Dover,Lena Hernandez,CA-2013-169194,19901.0,East,49,Delaware,Other,1.0,CA-2013-169194,6/21/2015,TEC-PH-10003988,6/26/2015,Standard Class,0.0,6.104,0.28,2.0,21.8,21.8,1,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Consumer,Phones,1.0
49,United States,New Albany,Darren Powers,CA-2012-115742,47150.0,Central,50,Indiana,Other,1.0,CA-2012-115742,4/18/2014,OFF-BI-10004410,4/22/2014,Standard Class,0.0,17.9634,0.47,6.0,38.22,38.22,1,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Consumer,Binders,1.0
50,United States,New Albany,Darren Powers,CA-2012-115742,47150.0,Central,51,Indiana,Other,1.0,CA-2012-115742,4/18/2014,OFF-LA-10002762,4/22/2014,Standard Class,0.0,35.3346,0.47,6.0,75.18,75.18,1,OFF-LA-10002762,Avery 485,Consumer,Labels,1.0
51,United States,New Albany,Darren Powers,CA-2012-115742,47150.0,Central,52,Indiana,Other,1.0,CA-2012-115742,4/18/2014,FUR-FU-10001706,4/22/2014,Standard Class,0.0,2.9568,0.48,2.0,6.16,6.16,1,FUR-FU-10001706,Longer-Life Soft White Bulbs,Consumer,Furnishings,1.0
52,United States,New Albany,Darren Powers,CA-2012-115742,47150.0,Central,53,Indiana,Other,1.0,CA-2012-115742,4/18/2014,FUR-CH-10003061,4/22/2014,Standard Class,0.0,17.0981,0.19,1.0,89.99,89.99,1,FUR-CH-10003061,"Global Leather Task Chair, Black",Consumer,Chairs,1.0
53,United States,New York City,Janet Molinari,CA-2013-105816,10024.0,East,54,New York,Other,1.0,CA-2013-105816,2015-12-12 00:00:00,OFF-FA-10000304,12/18/2015,Standard Class,0.0,6.2566,0.41,7.0,15.26,15.26,1,OFF-FA-10000304,Advantus Push Pins,Corporate,Fasteners,1.0
54,United States,New York City,Janet Molinari,CA-2013-105816,10024.0,East,55,New York,Other,1.0,CA-2013-105816,2015-12-12 00:00:00,TEC-PH-10002447,12/18/2015,Standard Class,0.0,298.6855,0.29,5.0,1029.95,1029.95,1,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Corporate,Phones,1.0
55,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,56,New York,Other,1.0,CA-2013-111682,6/18/2015,OFF-ST-10000604,6/19/2015,First Class,0.0,52.14,0.25,6.0,208.56,208.56,1,OFF-ST-10000604,Home/Office Personal File Carts,Consumer,Storage,1.0
56,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,57,New York,Other,1.0,CA-2013-111682,6/18/2015,OFF-PA-10001569,6/19/2015,First Class,0.0,15.552,0.48,5.0,32.4,32.4,1,OFF-PA-10001569,Xerox 232,Consumer,Paper,1.0
57,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,58,New York,Other,1.0,CA-2013-111682,6/18/2015,FUR-CH-10003968,6/19/2015,First Class,0.1,7.098,0.022222222,5.0,319.41,319.41,1,FUR-CH-10003968,Novimex Turbo Task Chair,Consumer,Chairs,1.0
58,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,59,New York,Other,1.0,CA-2013-111682,6/18/2015,OFF-PA-10000587,6/19/2015,First Class,0.0,6.9888,0.48,2.0,14.56,14.56,1,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Consumer,Paper,1.0
59,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,60,New York,Other,1.0,CA-2013-111682,6/18/2015,TEC-AC-10002167,6/19/2015,First Class,0.0,3.3,0.11,2.0,30.0,30.0,1,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,Accessories,1.0
60,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,61,New York,Other,1.0,CA-2013-111682,6/18/2015,OFF-BI-10001460,6/19/2015,First Class,0.2,16.362,0.3375,4.0,48.48,48.48,1,OFF-BI-10001460,Plastic Binding Combs,Consumer,Binders,1.0
61,United States,Troy,Ted Butterfield,CA-2013-111682,12180.0,East,62,New York,Other,1.0,CA-2013-111682,6/18/2015,OFF-AR-10001868,6/19/2015,First Class,0.0,0.84,0.5,1.0,1.68,1.68,1,OFF-AR-10001868,Prang Dustless Chalk Sticks,Consumer,Art,1.0
62,United States,Los Angeles,Kunst Miller,CA-2012-135545,90004.0,West,63,California,Other,1.0,CA-2012-135545,11/24/2014,TEC-AC-10004633,11/30/2014,Standard Class,0.0,6.1512,0.44,2.0,13.98,13.98,1,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Consumer,Accessories,1.0
63,United States,Los Angeles,Kunst Miller,CA-2012-135545,90004.0,West,64,California,Other,1.0,CA-2012-135545,11/24/2014,OFF-BI-10001078,11/30/2014,Standard Class,0.2,9.3612,0.3625,6.0,25.824,25.824,1,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Consumer,Binders,1.0
64,United States,Los Angeles,Kunst Miller,CA-2012-135545,90004.0,West,65,California,Other,1.0,CA-2012-135545,11/24/2014,OFF-PA-10003892,11/30/2014,Standard Class,0.0,68.9631,0.47,3.0,146.73,146.73,1,OFF-PA-10003892,Xerox 1943,Consumer,Paper,1.0
65,United States,Los Angeles,Kunst Miller,CA-2012-135545,90004.0,West,66,California,Other,1.0,CA-2012-135545,11/24/2014,FUR-FU-10000397,11/30/2014,Standard Class,0.0,22.3328,0.28,4.0,79.76,79.76,1,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Consumer,Furnishings,1.0
66,United States,Chicago,Paul Stevenson,US-2012-164175,60610.0,Central,67,Illinois,Other,1.0,US-2012-164175,4/30/2014,FUR-CH-10001146,2014-05-05 00:00:00,Standard Class,0.3,-15.2225,-0.071428571,5.0,213.115,213.115,1,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Home Office,Chairs,1.0
67,United States,Gilbert,Brendan Sweed,CA-2011-106376,85234.0,West,68,Arizona,Other,1.0,CA-2011-106376,2013-05-12 00:00:00,OFF-AR-10002671,2013-10-12 00:00:00,Standard Class,0.2,111.3024,0.1,8.0,1113.024,1113.024,1,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Corporate,Art,1.0
68,United States,Gilbert,Brendan Sweed,CA-2011-106376,85234.0,West,69,Arizona,Other,1.0,CA-2011-106376,2013-05-12 00:00:00,TEC-PH-10002726,2013-10-12 00:00:00,Standard Class,0.2,62.988,0.375,4.0,167.968,167.968,1,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Corporate,Phones,1.0
69,United States,Springfield,Karen Daniels,CA-2013-119823,22153.0,South,70,Virginia,Other,1.0,CA-2013-119823,2015-05-06 00:00:00,OFF-PA-10000482,2015-07-06 00:00:00,First Class,,35.6636,0.47,2.0,75.88,75.88,1,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Consumer,Paper,1.0
70,United States,New York City,Henry MacAllister,CA-2013-106075,10009.0,East,71,New York,Other,1.0,CA-2013-106075,9/19/2015,OFF-BI-10004654,9/24/2015,Standard Class,0.2,1.731,0.375,1.0,4.616,4.616,1,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Consumer,Binders,1.0
71,United States,Jackson,Tracy Blumstein,CA-2014-114440,49201.0,Central,72,Michigan,Other,1.0,CA-2014-114440,9/14/2016,OFF-PA-10004675,9/17/2016,Second Class,0.0,8.763,0.46,3.0,19.05,19.05,1,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Consumer,Paper,1.0
72,United States,Memphis,Joel Eaton,US-2012-134026,38109.0,South,73,Tennessee,Other,1.0,US-2012-134026,4/26/2014,FUR-CH-10000513,2014-02-05 00:00:00,Standard Class,0.2,-114.3912,-0.1375,8.0,831.936,831.936,1,FUR-CH-10000513,High-Back Leather Manager's Chair,Consumer,Chairs,1.0
73,United States,Memphis,Joel Eaton,US-2012-134026,38109.0,South,74,Tennessee,Other,1.0,US-2012-134026,4/26/2014,FUR-FU-10003708,2014-02-05 00:00:00,Standard Class,0.2,1.213,0.0125,2.0,97.04,97.04,1,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Consumer,Furnishings,1.0
74,United States,Memphis,Joel Eaton,US-2012-134026,38109.0,South,75,Tennessee,Other,1.0,US-2012-134026,4/26/2014,OFF-ST-10004123,2014-02-05 00:00:00,Standard Class,0.2,-18.196,-0.25,1.0,72.784,72.784,1,OFF-ST-10004123,Safco Industrial Wire Shelving System,Consumer,Storage,1.0
75,United States,Houston,Ken Brennan,US-2014-118038,77041.0,Central,76,Texas,Other,1.0,US-2014-118038,2016-09-12 00:00:00,OFF-BI-10004182,2016-11-12 00:00:00,First Class,0.8,-1.9344,-1.55,3.0,1.248,1.248,1,OFF-BI-10004182,Economy Binders,Corporate,Binders,1.0
76,United States,Houston,Ken Brennan,US-2014-118038,77041.0,Central,77,Texas,Other,1.0,US-2014-118038,2016-09-12 00:00:00,FUR-FU-10000260,2016-11-12 00:00:00,First Class,0.6,-5.8248,-0.6,3.0,9.708,9.708,1,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Corporate,Furnishings,1.0
77,United States,Houston,Ken Brennan,US-2014-118038,77041.0,Central,78,Texas,Other,1.0,US-2014-118038,2016-09-12 00:00:00,OFF-ST-10000615,2016-11-12 00:00:00,First Class,0.2,2.724,0.1,3.0,27.24,27.24,1,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Corporate,Storage,1.0
78,United States,Houston,Joel Eaton,US-2011-147606,77070.0,Central,79,Texas,Other,1.0,US-2011-147606,11/26/2013,FUR-FU-10003194,2013-01-12 00:00:00,Second Class,0.6,-14.475,-0.75,5.0,19.3,19.3,1,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Furnishings,1.0
79,United States,Decatur,Stewart Carmichael,CA-2013-127208,35601.0,South,80,Alabama,Other,1.0,CA-2013-127208,6/13/2015,OFF-AP-10002118,6/16/2015,First Class,0.0,56.2032,0.27,1.0,208.16,208.16,1,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Corporate,Appliances,1.0
80,United States,Decatur,Stewart Carmichael,CA-2013-127208,35601.0,South,81,Alabama,Other,1.0,CA-2013-127208,6/13/2015,OFF-BI-10002309,6/16/2015,First Class,0.0,8.0352,0.48,3.0,16.74,16.74,1,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,Corporate,Binders,1.0
